order_id,menu_item_id
1,4
2,9
2,8
3,3
3,6
3,18
4,12
5,6
5,17
6,19
6,21
6,11
7,12
8,21
8,6
8,4
9,10
10,13
10,14
10,9
11,17
11,4
12,22
12,7
13,12
13,6
13,8
14,5
14,4
15,10
16,9
16,12
16,14
17,14
18,20
18,18
19,16
19,8
20,11
21,15
22,11
22,21
23,10
23,16
24,19
24,7
25,14
25,13
25,6
26,12
27,5
28,22
28,16
29,8
29,5
29,6
30,20
30,15
31,16
32,10
32,19
32,18
33,19
33,18
33,9
34,20
34,12
35,3
35,4
35,18
36,20
37,10
37,18
38,8
38,22
38,7
39,22
40,21
41,12
42,8
42,9
42,5
43,16
44,16
45,16
46,8
46,4
46,16
47,15
47,11
47,6
48,11
48,13
48,6
49,9
49,11
50,10
50,17
50,4
51,12
51,10
51,14
52,22
53,22
53,19
54,12
54,11
55,8
55,16
55,18
56,8
56,19
56,20
57,10
58,5
58,14
58,4
59,17
60,15
61,12
61,19
61,3
62,9
63,14
63,7
63,22
64,6
65,3
65,17
65,13
66,11
66,3
67,21
67,3
67,19
68,7
68,11
69,14
69,19
69,17
70,12
70,6
71,5
71,12
72,11
73,5
73,15
74,13
74,17
75,3
76,19
76,6
76,7
77,11
77,7
78,21
78,7
79,5
79,6
80,6
80,8
81,5
81,22
82,7
83,13
84,3
85,14
85,4
86,8
87,18
88,17
88,12
89,17
90,18
91,22
92,3
92,13
92,21
93,14
93,17
93,12
94,16
95,13
95,3
95,9
96,11
96,4
97,14
98,20
98,15
99,13
99,14
100,10
101,20
101,10
101,9
102,18
102,15
103,14
103,11
104,8
105,4
105,20
105,6
106,5
106,19
107,15
107,9
108,19
108,17
108,12
109,3
110,6
111,5
111,19
111,12
112,18
112,13
113,17
113,5
113,6
114,7
114,17
115,22
115,4
116,6
116,7
116,3
117,15
117,19
117,20
118,21
118,4
119,9
120,4
121,8
122,21
122,10
123,7
123,14
124,12
124,15
125,15
125,19
126,10
126,7
126,19
127,15
128,21
128,5
128,17
129,14
129,18
129,19
130,20
130,21
130,8
131,5
131,15
132,4
132,19
133,6
133,7
133,17
134,19
134,5
135,17
135,11
136,11
136,10
137,12
137,16
138,4
138,21
139,13
139,20
139,4
140,16
141,3
141,14
141,20
142,17
143,15
144,21
144,11
144,3
145,14
145,16
146,8
146,16
147,9
147,8
147,4
148,8
148,11
148,12
149,19
150,14
150,9
150,11
151,18
151,17
151,7
152,5
152,21
152,20
153,8
154,19
154,17
154,9
155,12
155,20
155,10
156,8
156,19
157,6
157,14
157,4
158,21
159,11
159,17
160,17
160,16
160,3
161,3
162,3
163,11
163,5
164,7
165,6
165,21
165,17
166,3
167,13
167,5
168,16
168,21
168,6
169,16
170,5
171,20
171,7
172,21
173,10
173,7
173,4
174,3
174,19
175,6
176,8
176,20
176,13
177,21
177,3
177,5
178,16
178,9
178,21
179,12
180,22
180,11
180,6
181,15
182,10
182,7
182,5
183,9
184,22
185,13
185,17
185,10
186,18
187,4
187,16
187,22
188,3
188,15
188,13
189,10
189,9
190,17
191,9
191,13
191,7
192,13
192,5
192,6
193,10
193,11
193,13
194,6
194,21
195,17
195,14
196,12
196,17
196,20
197,18
198,12
199,18
200,15
201,20
201,9
201,3
202,18
202,21
202,6
203,7
203,4
204,12
205,13
205,17
206,12
206,9
207,22
207,16
208,8
208,6
208,13
209,13
209,6
209,15
210,11
210,14
210,20
211,9
211,6
212,10
212,6
213,10
213,11
213,9
214,21
214,13
214,18
215,19
215,3
216,19
216,14
216,13
217,8
217,13
218,11
218,17
219,10
219,5
220,14
221,20
221,14
221,21
222,21
222,10
222,19
223,3
223,21
224,19
224,5
225,6
225,18
225,4
226,17
226,20
226,4
227,10
227,12
228,12
228,21
228,6
229,21
230,13
231,16
231,8
231,10
232,11
233,7
234,4
235,10
236,16
236,11
237,12
237,6
237,17
238,10
238,4
239,7
239,19
240,4
240,5
241,19
242,8
242,16
242,22
243,14
243,17
244,8
244,4
244,3
245,9
246,12
246,7
246,20
247,15
247,5
247,22
248,20
248,3
248,22
249,5
250,19
250,3
250,16
251,12
251,22
252,4
253,17
254,3
254,6
254,7
255,10
256,7
257,18
258,10
259,20
260,3
260,16
260,11
261,4
261,19
261,14
262,15
262,5
262,12
263,7
263,15
264,18
265,7
266,20
266,13
266,14
267,19
267,6
268,20
268,5
268,9
269,8
269,19
270,18
270,12
271,14
272,8
272,21
272,9
273,14
273,17
274,14
274,20
274,9
275,17
275,15
275,12
276,7
277,12
277,6
278,9
278,17
279,4
279,6
280,4
280,11
281,5
282,5
282,4
283,4
284,18
284,17
284,19
285,19
286,20
286,11
286,9
287,13
287,12
287,22
288,4
289,6
289,19
290,13
290,9
290,12
291,4
291,17
291,9
292,21
292,18
292,11
293,13
293,21
294,3
295,18
295,13
296,10
297,11
297,14
297,9
298,22
298,8
299,19
300,18
301,21
302,7
303,6
303,3
303,15
304,15
304,11
304,21
305,20
305,9
306,8
307,4
307,18
307,14
308,15
308,18
308,4
309,17
309,18
310,13
310,15
310,18
311,13
311,8
312,20
312,19
312,21
313,8
313,10
313,15
314,11
314,19
314,5
315,14
316,4
316,11
317,10
317,19
318,18
318,17
318,12
319,7
319,12
319,3
320,6
320,5
320,20
321,21
321,13
321,19
322,8
322,15
322,7
323,22
323,12
324,21
324,14
324,7
325,18
325,21
326,22
326,10
326,17
327,15
327,17
328,13
329,15
329,16
329,4
330,21
331,11
332,12
333,16
334,11
334,6
334,5
335,5
335,9
336,11
337,18
337,13
338,14
339,19
340,18
341,9
341,10
341,13
342,18
342,13
343,3
344,10
345,3
346,8
347,12
347,22
348,11
348,5
348,9
349,8
349,16
349,19
350,15
351,5
351,12
351,10
352,7
352,13
353,19
354,22
354,3
354,7
355,5
356,19
356,3
356,18
357,7
358,10
358,13
358,9
359,21
359,17
360,11
360,10
361,11
361,19
361,22
362,7
362,4
362,3
363,22
363,19
364,14
364,15
365,20
366,20
366,16
367,11
367,21
368,12
368,10
369,10
370,19
370,12
371,20
371,15
372,5
373,4
373,11
374,10
374,5
375,8
376,6
377,12
378,10
379,15
379,20
380,11
380,14
381,13
382,8
383,12
383,5
383,15
384,6
384,17
385,22
385,12
386,16
386,21
386,15
387,15
388,19
388,3
389,8
389,6
389,17
390,18
390,10
390,6
391,17
391,15
392,12
392,21
392,20
393,21
393,17
393,22
394,4
394,7
394,18
395,8
396,4
396,7
397,21
397,9
398,13
399,15
399,10
400,10
401,6
401,9
401,22
402,10
402,18
403,6
403,20
404,4
405,21
405,5
406,4
406,10
406,5
407,8
407,7
408,22
408,15
409,14
409,20
409,5
410,16
410,15
411,10
411,8
412,5
412,4
413,4
414,22
414,14
415,14
415,15
416,22
417,15
417,21
417,12
418,20
418,10
419,9
420,17
421,20
421,3
421,19
422,13
423,19
423,10
424,6
425,21
425,3
425,11
426,21
427,13
427,21
427,5
428,4
428,11
428,19
429,10
429,4
430,5
430,12
430,4
431,3
431,6
431,21
