id,customer_id,price,payment_method,employee_id,order_time
1,135,1.5,credit_card,5,2024-01-01 06:51:27
2,171,20.0,credit_card,5,2024-01-01 15:24:54
3,600,13.0,credit_card,3,2024-01-01 01:02:23
4,856,10.0,cash,5,2024-01-01 19:55:11
5,158,20.0,cash,5,2024-01-01 01:35:33
6,492,20.25,cash,5,2024-01-01 06:35:08
7,478,10.0,credit_card,5,2024-01-01 18:26:50
8,801,21.5,credit_card,3,2024-01-01 02:13:06
9,453,10.0,credit_card,2,2024-01-01 16:14:15
10,867,22.0,credit_card,6,2024-01-01 14:44:34
11,754,11.5,cash,5,2024-01-01 21:43:33
12,203,20.0,credit_card,4,2024-01-01 08:01:25
13,620,30.0,cash,5,2024-01-01 02:35:22
14,445,3.5,cash,5,2024-01-01 03:20:07
15,956,10.0,credit_card,3,2024-01-01 11:11:52
16,379,22.0,credit_card,3,2024-01-01 22:46:15
17,459,2.0,cash,2,2024-01-01 21:56:13
18,338,17.0,credit_card,1,2024-01-01 08:36:19
19,808,20.0,credit_card,3,2024-01-01 04:38:58
20,505,10.0,credit_card,2,2024-01-01 03:31:11
21,523,2.0,cash,6,2024-01-01 05:44:43
22,95,20.0,credit_card,2,2024-01-01 20:23:21
23,715,20.0,cash,4,2024-01-01 10:54:30
24,73,10.25,credit_card,6,2024-01-01 19:20:30
25,890,22.0,cash,6,2024-01-01 01:35:59
26,6,10.0,credit_card,4,2024-01-01 19:54:39
27,693,2.0,credit_card,5,2024-01-01 01:00:43
28,656,20.0,cash,2,2024-01-01 14:36:51
29,357,22.0,credit_card,4,2024-01-01 01:15:09
30,634,17.0,credit_card,6,2024-01-01 01:55:00
31,918,10.0,credit_card,3,2024-01-01 12:28:47
32,434,12.25,credit_card,6,2024-01-01 21:57:24
33,382,12.25,cash,6,2024-01-01 18:01:54
34,794,25.0,cash,2,2024-01-01 15:36:05
35,534,4.5,cash,2,2024-01-01 00:59:03
36,335,15.0,cash,5,2024-01-01 18:57:40
37,622,12.0,credit_card,6,2024-01-01 14:15:03
38,217,30.0,credit_card,5,2024-01-01 17:49:55
39,9,10.0,cash,5,2024-01-01 12:08:34
40,619,10.0,cash,2,2024-01-01 14:31:44
41,900,10.0,credit_card,3,2024-01-01 05:29:03
42,324,22.0,credit_card,5,2024-01-01 10:31:45
43,778,10.0,cash,4,2024-01-01 14:58:06
44,613,10.0,credit_card,5,2024-01-01 03:35:31
45,972,10.0,credit_card,1,2024-01-01 02:11:51
46,9,21.5,credit_card,3,2024-01-01 07:39:39
47,512,22.0,cash,4,2024-01-01 12:33:44
48,281,30.0,credit_card,2,2024-01-01 02:05:16
49,498,20.0,cash,6,2024-01-01 02:22:56
50,537,21.5,cash,2,2024-01-01 17:25:39
51,474,22.0,credit_card,4,2024-01-01 02:31:55
52,96,10.0,credit_card,1,2024-01-01 19:32:00
53,137,10.25,cash,1,2024-01-01 01:59:16
54,372,20.0,credit_card,6,2024-01-01 01:43:57
55,690,22.0,credit_card,2,2024-01-01 06:46:23
56,61,25.25,credit_card,1,2024-01-01 12:47:54
57,976,10.0,credit_card,5,2024-01-01 00:04:12
58,131,5.5,credit_card,3,2024-01-01 06:23:57
59,490,10.0,cash,6,2024-01-01 04:24:59
60,547,2.0,cash,3,2024-01-01 11:02:00
61,893,11.25,credit_card,3,2024-01-01 18:46:31
62,32,10.0,credit_card,3,2024-01-01 04:13:18
63,295,22.0,cash,3,2024-01-01 10:15:03
64,55,10.0,cash,2,2024-01-01 07:55:36
65,800,21.0,credit_card,5,2024-01-01 20:03:03
66,255,11.0,cash,6,2024-01-01 21:50:50
67,785,11.25,cash,5,2024-01-01 02:58:15
68,989,20.0,credit_card,4,2024-01-01 18:55:29
69,63,12.25,credit_card,6,2024-01-01 17:43:27
70,341,20.0,cash,1,2024-01-01 23:58:08
71,155,12.0,cash,2,2024-01-01 00:53:53
72,214,10.0,credit_card,2,2024-01-01 17:09:55
73,478,4.0,credit_card,5,2024-01-01 11:02:47
74,868,20.0,cash,5,2024-01-01 21:44:07
75,512,1.0,credit_card,2,2024-01-01 18:19:39
76,744,20.25,credit_card,1,2024-01-01 12:09:37
77,912,20.0,cash,3,2024-01-01 23:32:24
78,326,20.0,cash,4,2024-01-01 06:49:44
79,422,12.0,credit_card,1,2024-01-01 09:29:34
